sk_time,sk_facility,sk_capacity_type,sk_geografia,capacity_amount,sk_capacity
2,19,10,1134,1,93
2,19,23,1134,3,94
2,20,1,1137,1,95
2,20,2,1137,1,96
2,20,3,1137,1,97
2,20,4,1137,2,98
2,20,5,1137,1,99
2,20,6,1137,1,100
2,20,7,1137,1,101
2,20,8,1137,1,102
2,20,9,1137,1,103
2,20,10,1137,1,104
2,20,11,1137,1,105
2,21,1,1138,1,106
2,21,10,1138,1,107
2,21,12,1138,1,108
2,22,1,1139,1,109
2,22,3,1139,1,110
2,22,4,1139,2,111
2,22,6,1139,1,112
2,22,7,1139,1,113
2,22,8,1139,1,114
2,22,9,1139,1,115
2,22,10,1139,1,116
2,23,1,1140,1,117
2,23,2,1140,1,118
2,23,3,1140,4,119
2,23,4,1140,8,120
2,23,5,1140,1,121
2,23,6,1140,1,122
2,23,7,1140,2,123
2,23,8,1140,1,124
2,23,9,1140,1,125
2,23,10,1140,1,126
2,23,11,1140,1,127
2,24,2,1141,3,128
2,24,3,1141,3,129
2,24,4,1141,4,130
2,24,6,1141,2,131
2,24,7,1141,3,132
2,24,8,1141,3,133
2,24,9,1141,1,134
2,24,10,1141,11,135
2,24,11,1141,1,136
2,24,18,1141,2,137
2,25,1,1142,1,138
2,25,2,1142,1,139
2,25,3,1142,2,140
2,25,4,1142,4,141
2,25,5,1142,1,142
2,25,6,1142,1,143
2,25,7,1142,1,144
2,25,8,1142,1,145
2,25,9,1142,1,146
2,25,10,1142,1,147
2,25,11,1142,1,148
2,26,1,1143,1,149
2,26,2,1143,1,150
2,26,3,1143,2,151
2,26,4,1143,4,152
2,26,6,1143,2,153
2,26,7,1143,2,154
2,26,8,1143,2,155
2,26,9,1143,1,156
2,26,10,1143,1,157
2,26,11,1143,1,158
2,27,1,1144,1,159
2,27,2,1144,4,160
2,27,3,1144,2,161
2,27,4,1144,4,162
2,27,6,1144,1,163
2,27,7,1144,2,164
2,27,8,1144,2,165
2,27,9,1144,1,166
2,27,10,1144,22,167
2,27,11,1144,1,168
2,27,18,1144,3,169
2,28,1,1145,1,170
2,28,3,1145,2,171
2,28,4,1145,4,172
2,28,6,1145,1,173
2,28,7,1145,2,174
2,28,8,1145,1,175
2,28,9,1145,1,176
2,28,10,1145,4,177
2,28,11,1145,1,178
2,28,18,1145,1,179
2,29,3,1146,1,180
2,29,4,1146,2,181
2,29,6,1146,1,182
2,29,7,1146,1,183
2,29,8,1146,1,184
2,29,9,1146,1,185
2,29,10,1146,1,186
2,29,11,1146,1,187
2,29,12,1146,1,188
2,29,18,1146,2,189
2,30,10,1141,2,190
2,31,10,1141,11,191
2,32,3,1147,2,192
2,32,4,1147,13,193
2,32,6,1147,1,194
2,32,7,1147,3,195
2,32,8,1147,3,196
2,32,9,1147,1,197
2,32,10,1147,11,198
2,32,11,1147,1,199
2,32,18,1147,2,200
2,33,10,1148,2,201
2,34,1,1148,1,202
2,34,3,1148,4,203
2,34,4,1148,12,204
2,34,5,1148,6,205
2,34,6,1148,1,206
2,34,7,1148,5,207
2,34,8,1148,5,208
2,34,9,1148,2,209
2,34,10,1148,18,210
2,34,11,1148,1,211
2,34,18,1148,3,212
2,35,3,1149,17,213
2,35,4,1149,143,214
2,35,11,1149,1,215
2,35,13,1149,4,216
2,35,14,1149,12,217
2,35,16,1149,5,218
2,35,23,1149,12,219
2,35,25,1149,3,220
2,35,30,1149,8,221
2,35,35,1149,10,222
2,35,42,1149,8,223
2,35,43,1149,4,224
2,35,44,1149,12,225
2,35,45,1149,2,226
2,35,50,1149,8,227
2,35,59,1149,1,228
2,35,60,1149,1,229
2,36,1,1150,1,230
2,36,3,1150,2,231
2,36,4,1150,4,232
2,36,6,1150,1,233
2,36,7,1150,1,234
2,36,8,1150,2,235
2,36,9,1150,1,236
2,36,10,1150,5,237
2,36,18,1150,1,238
2,37,1,1151,1,239
2,37,2,1151,1,240
2,37,3,1151,1,241
2,37,4,1151,4,242
2,37,6,1151,1,243
2,37,7,1151,3,244
2,37,8,1151,2,245
2,37,9,1151,1,246
2,37,10,1151,9,247
2,37,11,1151,1,248
2,37,18,1151,2,249
2,38,1,1152,1,250
2,38,2,1152,2,251
2,38,3,1152,1,252
2,38,4,1152,2,253
2,38,6,1152,1,254
2,38,7,1152,2,255
2,38,8,1152,2,256
2,38,9,1152,1,257
2,38,10,1152,1,258
2,38,11,1152,1,259
2,38,18,1152,4,260
2,39,2,1153,1,261
2,39,3,1153,1,262
2,39,4,1153,2,263
2,39,6,1153,1,264
2,39,7,1153,1,265
2,39,8,1153,1,266
2,39,9,1153,1,267
2,39,10,1153,6,268
2,39,11,1153,1,269
2,39,18,1153,3,270
2,40,10,1130,5,271
2,41,1,1130,1,272
2,41,10,1130,4,273
2,42,10,1130,2,274
2,43,10,1130,1,275
2,44,1,1130,1,276
2,44,10,1130,3,277
2,44,23,1130,15,278
2,45,10,1130,1,279
2,46,10,1130,5,280
2,46,17,1130,1,281
2,47,1,1130,2,282
2,47,10,1130,18,283
2,48,1,1130,2,284
2,48,2,1130,6,285
2,48,3,1130,24,286
2,48,4,1130,74,287
2,48,6,1130,6,288
2,48,7,1130,9,289
2,48,8,1130,9,290
2,48,9,1130,2,291
2,48,10,1130,38,292
2,48,11,1130,2,293
2,48,17,1130,2,294
2,49,1,1130,1,295
2,49,3,1130,2,296
2,49,4,1130,21,297
2,49,6,1130,1,298
2,49,7,1130,3,299
2,49,8,1130,3,300
2,49,9,1130,6,301
2,49,10,1130,6,302
2,49,17,1130,2,303
2,50,10,1130,3,304
2,51,1,1130,1,305
2,51,10,1130,2,306
2,52,1,1130,1,307
2,52,10,1130,2,308
2,53,10,1130,3,309
2,54,10,1130,1,310
2,55,10,1130,3,311
2,55,24,1130,14,312
2,56,10,1130,1,313
2,57,10,1130,1,314
2,58,1,1130,1,315
2,58,3,1130,4,316
2,58,4,1130,15,317
2,58,10,1130,11,318
2,58,17,1130,2,319
2,58,18,1130,1,320
2,58,25,1130,1,321
2,59,10,1130,7,322
2,60,1,1130,1,323
2,60,10,1130,14,324
2,61,10,1130,1,325
2,62,10,1130,1,326
2,63,10,1130,4,327
2,63,17,1130,2,328
2,64,10,1130,4,329
2,65,10,1130,4,330
2,66,1,1130,3,331
2,66,10,1130,1,332
2,67,18,1130,6,333
2,68,10,1130,9,334
2,68,12,1130,1,335
2,68,17,1130,1,336
2,69,1,1130,2,337
2,69,2,1130,3,338
2,69,3,1130,6,339
2,69,4,1130,69,340
2,69,6,1130,5,341
2,69,7,1130,13,342
2,69,8,1130,13,343
2,69,9,1130,2,344
2,69,10,1130,19,345
2,69,11,1130,1,346
2,69,17,1130,5,347
2,69,19,1130,3,348
2,69,26,1130,2,349
2,69,27,1130,5,350
2,69,28,1130,10,351
2,69,29,1130,1,352
2,69,30,1130,12,353
2,70,1,1130,1,354
2,70,10,1130,1,355
2,70,23,1130,24,356
2,71,10,1130,1,357
2,72,10,1130,1,358
2,73,25,1130,1,359
2,74,31,1130,20,360
2,75,10,1130,4,361
2,76,10,1130,1,362
2,77,10,1130,1,363
2,78,1,1130,1,364
2,79,1,1130,1,365
2,79,10,1130,1,366
2,80,10,1130,1,367
2,81,1,1130,1,368
2,81,10,1130,1,369
2,82,10,1130,1,370
2,83,1,1130,1,371
2,83,10,1130,1,372
2,84,1,1130,1,373
2,84,10,1130,7,374
2,85,19,1130,4,375
2,85,28,1130,8,376
2,86,10,1130,3,377
2,87,10,1130,1,378
2,88,10,1154,3,379
2,89,3,1154,2,380
2,89,4,1154,7,381
2,89,6,1154,2,382
2,89,7,1154,2,383
2,89,8,1154,2,384
2,89,9,1154,1,385
2,89,10,1154,8,386
2,89,11,1154,1,387
2,89,18,1154,2,388
2,90,10,1154,5,389
2,91,2,1155,1,390
2,91,3,1155,2,391
2,91,4,1155,6,392
2,91,6,1155,1,393
2,91,7,1155,4,394
2,91,8,1155,3,395
2,91,9,1155,1,396
2,91,10,1155,9,397
2,91,18,1155,2,398
2,92,3,1156,2,399
2,92,4,1156,2,400
2,92,6,1156,2,401
2,92,7,1156,2,402
2,92,8,1156,2,403
2,92,9,1156,1,404
2,92,10,1156,1,405
2,92,11,1156,1,406
2,92,18,1156,1,407
2,93,10,1157,6,408
2,94,10,1157,2,409
2,95,1,1157,1,410
2,95,2,1157,3,411
2,95,3,1157,2,412
2,95,4,1157,9,413
2,95,6,1157,2,414
2,95,7,1157,8,415
2,95,8,1157,8,416
2,95,9,1157,3,417
2,95,10,1157,14,418
2,95,11,1157,1,419
2,95,12,1157,1,420
2,95,17,1157,1,421
2,95,18,1157,3,422
2,96,10,1157,2,423
2,96,20,1157,90,424
2,97,1,1157,1,425
2,97,10,1157,1,426
2,98,1,1157,2,427
2,98,10,1157,1,428
2,99,10,1158,7,429
2,100,10,1158,12,430
2,101,10,1158,1,431
2,102,1,1158,1,432
2,102,10,1158,18,433
2,103,10,1158,3,434
2,104,1,1158,2,435
2,104,10,1158,88,436
2,105,10,1158,1,437
2,105,23,1158,49,438
2,106,10,1158,1,439
2,107,10,1158,4,440
2,108,10,1158,5,441
2,109,10,1158,6,442
2,110,10,1158,3,443
2,111,10,1158,4,444
2,112,1,1158,2,445
2,112,10,1158,27,446
2,113,10,1158,5,447
2,114,10,1158,1,448
2,115,10,1158,3,449
2,116,10,1158,1,450
2,117,10,1158,1,451
2,118,10,1158,5,452
2,119,10,1158,20,453
2,120,10,1158,1,454
2,121,1,1158,1,455
2,121,10,1158,22,456
2,122,10,1158,1,457
2,123,10,1158,3,458
2,124,10,1158,3,459
2,125,1,1158,1,460
2,125,6,1158,4,461
2,125,7,1158,7,462
2,125,8,1158,7,463
2,125,9,1158,2,464
2,125,10,1158,14,465
2,125,24,1158,219,466
2,125,32,1158,10,467
2,125,33,1158,20,468
2,125,34,1158,15,469
2,126,18,1159,13,470
2,127,1,1158,3,471
2,127,3,1158,2,472
2,127,4,1158,17,473
2,127,6,1158,2,474
2,127,7,1158,3,475
2,127,8,1158,3,476
2,127,9,1158,1,477
2,127,10,1158,55,478
2,127,11,1158,1,479
2,127,18,1158,2,480
2,128,10,1158,3,481
2,129,1,1158,2,482
2,129,3,1158,53,483
2,129,4,1158,183,484
2,129,6,1158,15,485
2,129,7,1158,15,486
2,129,8,1158,20,487
2,129,9,1158,6,488
2,129,10,1158,3,489
2,129,17,1158,2,490
2,130,1,1158,1,491
2,130,10,1158,2,492
2,131,10,1158,1,493
2,132,4,1158,26,494
2,132,10,1158,4,495
2,132,17,1158,2,496
2,132,19,1158,17,497
2,132,28,1158,8,498
2,133,10,1158,1,499
2,134,10,1158,2,500
2,135,10,1158,7,501
2,136,1,1158,1,502
2,136,10,1158,3,503
2,136,23,1158,45,504
2,137,1,1158,2,505
2,137,4,1158,111,506
2,137,7,1158,22,507
2,137,8,1158,21,508
2,137,9,1158,3,509
2,137,10,1158,14,510
2,137,17,1158,7,511
2,137,19,1158,10,512
2,137,23,1158,4,513
2,137,28,1158,17,514
2,138,1,1158,2,515
2,139,10,1158,2,516
2,140,10,1158,5,517
2,141,10,1158,1,518
2,142,10,1158,2,519
2,143,1,1158,1,520
2,143,10,1158,2,521
2,144,1,1158,2,522
2,144,3,1158,8,523
2,144,4,1158,21,524
2,144,6,1158,1,525
2,144,7,1158,4,526
2,144,8,1158,5,527
2,144,9,1158,3,528
2,144,10,1158,11,529
2,144,17,1158,3,530
2,145,1,1158,1,531
2,145,10,1158,10,532
2,146,10,1158,5,533
2,147,10,1158,2,534
2,148,1,1160,1,535
2,148,3,1160,2,536
2,148,4,1160,2,537
2,148,6,1160,1,538
2,148,7,1160,1,539
2,148,8,1160,1,540
2,148,9,1160,1,541
2,148,10,1160,1,542
2,148,11,1160,1,543
2,148,18,1160,1,544
2,149,2,1161,1,545
2,149,3,1161,1,546
2,149,4,1161,2,547
2,149,7,1161,1,548
2,149,8,1161,1,549
2,149,9,1161,1,550
2,149,10,1161,1,551
2,149,11,1161,1,552
2,149,18,1161,2,553
2,150,2,1162,4,554
2,150,3,1162,3,555
2,150,4,1162,4,556
2,150,6,1162,2,557
2,150,7,1162,3,558
2,150,8,1162,3,559
2,150,9,1162,1,560
2,150,10,1162,15,561
2,150,11,1162,2,562
2,150,18,1162,3,563
2,151,2,1163,3,564
2,151,3,1163,2,565
2,151,4,1163,5,566
2,151,6,1163,2,567
2,151,7,1163,2,568
2,151,8,1163,2,569
2,151,9,1163,1,570
2,151,10,1163,4,571
2,151,11,1163,1,572
2,151,18,1163,2,573
2,152,1,1164,2,574
2,152,2,1164,1,575
2,152,3,1164,2,576
2,152,4,1164,4,577
2,152,6,1164,1,578
2,152,7,1164,1,579
2,152,8,1164,1,580
2,152,9,1164,1,581
2,152,10,1164,7,582
2,152,12,1164,1,583
2,152,18,1164,1,584
2,153,2,1165,4,585
2,153,3,1165,3,586
2,153,4,1165,3,587
2,153,6,1165,1,588
2,153,7,1165,2,589
2,153,8,1165,2,590
2,153,9,1165,1,591
2,153,10,1165,13,592
2,153,11,1165,1,593
2,153,18,1165,2,594
2,154,3,1166,1,595
2,154,4,1166,1,596
2,154,11,1166,1,597
2,154,18,1166,2,598
2,154,35,1166,1,599
2,155,1,1167,1,600
2,155,10,1167,28,601
2,155,18,1167,1,602
2,156,10,1167,12,603
2,157,10,1167,5,604
2,158,1,1167,1,605
2,158,3,1167,16,606
2,158,4,1167,71,607
2,158,6,1167,4,608
2,158,7,1167,10,609
2,158,8,1167,10,610
2,158,9,1167,3,611
2,158,10,1167,20,612
2,158,11,1167,1,613
2,158,17,1167,3,614
2,158,18,1167,1,615
2,158,25,1167,2,616
2,159,1,1167,1,617
2,159,10,1167,5,618
2,160,10,1167,1,619
2,160,20,1167,73,620
2,161,2,1168,2,621
2,161,3,1168,3,622
2,161,4,1168,4,623
2,161,7,1168,4,624
2,161,8,1168,3,625
2,161,9,1168,1,626
2,161,10,1168,1,627
2,161,11,1168,1,628
2,161,18,1168,2,629
2,162,3,1169,2,630
2,162,4,1169,3,631
2,162,11,1169,1,632
2,162,18,1169,2,633
2,162,35,1169,2,634
2,163,3,1170,1,635
2,163,4,1170,1,636
2,163,5,1170,1,637
2,163,6,1170,1,638
2,163,7,1170,1,639
2,163,8,1170,1,640
2,163,9,1170,1,641
2,163,10,1170,5,642
2,163,11,1170,1,643
2,163,12,1170,1,644
2,163,18,1170,2,645
2,164,10,1171,1,646
2,164,24,1171,15,647
2,164,32,1171,5,648
2,164,33,1171,40,649
2,164,36,1171,5,650
2,165,3,1172,1,651
2,165,4,1172,4,652
2,165,7,1172,1,653
2,165,8,1172,1,654
2,165,9,1172,1,655
2,165,10,1172,3,656
2,165,11,1172,1,657
2,165,18,1172,1,658
2,166,1,1173,1,659
2,166,10,1173,11,660
2,167,10,1173,11,661
2,168,1,1173,1,662
2,168,10,1173,1,663
2,168,18,1173,1,664
2,169,10,1173,3,665
2,169,20,1173,10,666
2,169,24,1173,20,667
2,170,1,1173,1,668
2,170,10,1173,7,669
2,171,10,1173,1,670
2,172,1,1173,3,671
2,172,3,1173,8,672
2,172,4,1173,17,673
2,172,5,1173,1,674
2,172,6,1173,5,675
2,172,7,1173,6,676
2,172,8,1173,6,677
2,172,9,1173,3,678
2,172,10,1173,20,679
2,172,11,1173,1,680
2,172,18,1173,2,681
2,173,10,1173,1,682
2,174,10,1173,1,683
2,175,1,1174,1,684
2,175,2,1174,1,685
2,175,3,1174,1,686
2,175,4,1174,2,687
2,175,6,1174,1,688
2,175,7,1174,1,689
2,175,8,1174,1,690
2,175,9,1174,1,691
2,175,10,1174,2,692
2,175,11,1174,1,693
2,175,18,1174,2,694
2,176,1,1171,1,695
2,176,10,1171,8,696
2,177,10,1171,7,697
2,178,10,1171,1,698
2,179,10,1171,1,699
2,180,10,1171,1,700
2,181,1,1171,1,701
2,181,3,1171,31,702
2,181,4,1171,80,703
2,181,6,1171,3,704
2,181,7,1171,15,705
2,181,8,1171,19,706
2,181,9,1171,6,707
2,181,10,1171,33,708
2,181,11,1171,2,709
2,181,12,1171,1,710
2,181,17,1171,5,711
2,181,18,1171,1,712
2,181,25,1171,1,713
2,182,2,1171,6,714
2,182,3,1171,5,715
2,182,4,1171,24,716
2,182,6,1171,4,717
2,182,7,1171,10,718
2,182,8,1171,10,719
2,182,9,1171,2,720
2,182,10,1171,16,721
2,182,11,1171,1,722
2,182,17,1171,3,723
2,182,25,1171,3,724
2,182,28,1171,5,725
2,183,10,1171,1,726
2,184,10,1171,1,727
2,185,10,1171,3,728
2,186,1,1171,1,729
2,187,10,1171,1,730
2,188,1,1171,1,731
2,188,10,1171,5,732
2,189,26,1171,2,733
2,189,27,1171,6,734
2,189,29,1171,3,735
2,189,37,1171,1,736
2,189,38,1171,4,737
2,189,39,1171,6,738
2,190,10,1171,1,739
2,191,10,1171,5,740
2,192,1,1171,2,741
2,192,4,1171,1,742
2,192,10,1171,2,743
2,192,40,1171,2,744
2,193,10,1171,6,745
2,194,1,1171,1,746
2,194,10,1171,2,747
2,195,10,1171,3,748
2,196,1,1175,2,749
2,196,10,1175,9,750
2,197,1,1175,1,751
2,198,10,1175,9,752
2,199,10,1175,1,753
2,200,1,1175,1,754
2,200,10,1175,6,755
2,201,3,1175,4,756
2,201,4,1175,14,757
2,201,6,1175,2,758
2,201,7,1175,4,759
2,201,8,1175,4,760
2,201,9,1175,2,761
2,201,10,1175,4,762
2,201,11,1175,1,763
2,201,18,1175,3,764
2,202,2,1175,19,765
2,202,4,1175,4,766
2,202,10,1175,3,767
2,202,11,1175,1,768
2,202,17,1175,1,769
2,202,26,1175,5,770
2,202,27,1175,8,771
2,202,29,1175,8,772
2,202,38,1175,1,773
2,203,1,1175,1,774
2,203,10,1175,8,775
2,203,12,1175,1,776
2,204,1,1175,1,777
2,204,10,1175,4,778
2,205,3,1176,3,779
2,205,4,1176,7,780
2,205,6,1176,1,781
2,205,7,1176,3,782
2,205,8,1176,3,783
2,205,9,1176,1,784
2,205,10,1176,8,785
2,205,11,1176,1,786
2,205,18,1176,2,787
2,206,1,1176,1,788
2,206,10,1176,3,789
2,207,1,1177,1,790
2,208,1,1177,1,791
2,208,3,1177,8,792
2,208,4,1177,18,793
2,208,5,1177,9,794
2,208,6,1177,1,795
2,208,7,1177,4,796
2,208,8,1177,4,797
2,208,9,1177,2,798
2,208,10,1177,14,799
2,208,11,1177,1,800
2,208,16,1177,1,801
2,208,17,1177,2,802
2,208,18,1177,2,803
2,208,25,1177,1,804
2,209,3,1178,2,805
2,209,4,1178,5,806
2,209,7,1178,5,807
2,209,8,1178,5,808
2,209,9,1178,1,809
2,209,10,1178,6,810
2,209,11,1178,1,811
2,209,12,1178,1,812
2,209,18,1178,2,813
2,210,2,1179,1,814
2,210,3,1179,1,815
2,210,4,1179,1,816
2,210,7,1179,3,817
2,210,8,1179,2,818
2,210,10,1179,1,819
2,210,11,1179,1,820
2,210,18,1179,1,821
2,211,1,1180,1,822
2,211,3,1180,2,823
2,211,4,1180,7,824
2,211,6,1180,1,825
2,211,7,1180,2,826
2,211,8,1180,2,827
2,211,9,1180,1,828
2,211,10,1180,6,829
2,211,11,1180,1,830
2,211,18,1180,3,831
2,212,20,1181,116,832
2,213,1,1181,1,833
2,213,10,1181,19,834
2,214,10,1181,1,835
2,215,1,1181,1,836
2,215,2,1181,2,837
2,215,3,1181,2,838
2,215,4,1181,8,839
2,215,6,1181,2,840
2,215,7,1181,8,841
2,215,8,1181,8,842
2,215,9,1181,1,843
2,215,10,1181,5,844
2,215,11,1181,1,845
2,215,12,1181,1,846
2,215,18,1181,1,847
2,216,10,1181,6,848
2,217,1,1181,1,849
2,217,10,1181,1,850
2,218,1,1181,1,851
2,219,3,1182,3,852
2,219,4,1182,7,853
2,219,6,1182,2,854
2,219,7,1182,2,855
2,219,8,1182,2,856
2,219,9,1182,1,857
2,219,10,1182,10,858
2,219,11,1182,1,859
2,219,18,1182,3,860
2,220,10,1183,8,861
2,221,10,1182,1,862
2,222,1,1184,3,863
2,222,10,1184,1,864
2,223,2,1184,1,865
2,223,3,1184,1,866
2,223,4,1184,4,867
2,223,6,1184,1,868
2,223,7,1184,2,869
2,223,8,1184,2,870
2,223,9,1184,1,871
2,223,10,1184,8,872
2,223,11,1184,1,873
2,223,18,1184,3,874
2,224,1,1185,2,875
2,224,3,1185,2,876
2,224,4,1185,8,877
2,224,6,1185,1,878
2,224,7,1185,4,879
2,224,8,1185,5,880
2,224,9,1185,1,881
2,224,10,1185,14,882
2,224,11,1185,1,883
2,224,18,1185,3,884
2,225,1,1186,1,885
2,225,2,1186,1,886
2,225,7,1186,1,887
2,225,8,1186,1,888
2,225,9,1186,1,889
2,225,10,1186,4,890
2,225,11,1186,1,891
2,225,18,1186,2,892
2,226,10,1187,1,893
2,227,2,1187,8,894
2,227,3,1187,3,895
2,227,4,1187,4,896
2,227,6,1187,4,897
2,227,7,1187,5,898
2,227,8,1187,4,899
2,227,9,1187,3,900
2,227,10,1187,9,901
2,227,11,1187,1,902
2,227,18,1187,5,903
2,228,1,1187,2,904
2,228,3,1187,2,905
2,228,4,1187,7,906
2,228,6,1187,1,907
2,228,7,1187,5,908
2,228,8,1187,5,909
2,228,9,1187,1,910
2,228,10,1187,10,911
2,228,11,1187,1,912
2,228,18,1187,1,913
2,229,10,1188,9,914
2,230,20,1188,29,915
2,231,1,1188,1,916
2,231,2,1188,2,917
2,231,3,1188,2,918
2,231,4,1188,3,919
2,231,5,1188,1,920
2,231,6,1188,4,921
2,231,7,1188,4,922
2,231,8,1188,4,923
2,231,9,1188,2,924
2,231,10,1188,14,925
2,231,11,1188,1,926
2,231,12,1188,1,927
2,231,18,1188,3,928
2,232,1,1188,1,929
2,232,10,1188,1,930
2,233,10,1188,1,931
2,234,1,1189,1,932
2,234,3,1189,2,933
2,234,4,1189,7,934
2,234,6,1189,2,935
2,234,7,1189,5,936
2,234,8,1189,5,937
2,234,9,1189,2,938
2,234,10,1189,11,939
2,234,11,1189,1,940
2,234,18,1189,2,941
2,235,1,1190,2,942
2,235,10,1190,6,943
2,236,10,1190,1,944
2,237,3,1190,2,945
2,237,4,1190,4,946
2,237,6,1190,2,947
2,237,7,1190,4,948
2,237,8,1190,4,949
2,237,9,1190,1,950
2,237,10,1190,16,951
2,237,11,1190,1,952
2,237,12,1190,1,953
2,237,18,1190,2,954
2,238,1,1191,1,955
2,238,10,1191,3,956
2,239,1,1183,5,957
2,239,3,1183,8,958
2,239,4,1183,219,959
2,239,11,1183,2,960
2,239,14,1183,9,961
2,239,16,1183,6,962
2,239,19,1183,19,963
2,239,28,1183,24,964
2,239,30,1183,16,965
2,239,35,1183,16,966
2,239,42,1183,4,967
2,239,43,1183,4,968
2,239,44,1183,14,969
2,239,45,1183,8,970
2,240,3,1191,3,971
2,240,4,1191,7,972
2,240,6,1191,2,973
2,240,7,1191,3,974
2,240,8,1191,3,975
2,240,9,1191,1,976
2,240,10,1191,4,977
2,240,11,1191,1,978
2,240,18,1191,3,979
2,241,10,1191,1,980
2,242,10,1183,3,981
2,243,10,1183,6,982
2,244,1,1183,3,983
2,244,3,1183,12,984
2,244,4,1183,87,985
2,244,6,1183,1,986
2,244,7,1183,6,987
2,244,8,1183,6,988
2,244,9,1183,1,989
2,244,10,1183,9,990
2,244,17,1183,3,991
2,244,19,1183,12,992
2,244,28,1183,6,993
2,244,30,1183,9,994
2,244,41,1183,13,995
2,245,10,1183,1,996
2,246,10,1183,1,997
2,247,10,1183,1,998
2,248,10,1183,3,999
2,249,10,1183,3,1000
2,250,1,1183,3,1001
2,250,10,1183,48,1002
2,251,1,1183,1,1003
2,251,10,1183,2,1004
2,251,23,1183,30,1005
2,252,10,1183,2,1006
2,253,10,1183,3,1007
2,254,10,1183,7,1008
2,255,10,1183,1,1009
2,256,10,1183,4,1010
2,257,10,1183,1,1011
2,258,10,1183,8,1012
2,258,20,1183,40,1013
2,259,10,1183,5,1014
2,260,10,1183,6,1015
2,261,10,1183,1,1016
2,262,10,1183,1,1017
2,263,10,1183,1,1018
2,263,17,1183,2,1019
2,264,10,1183,1,1020
2,265,10,1183,1,1021
2,266,10,1183,11,1022
2,266,17,1183,2,1023
2,267,1,1183,2,1024
2,267,4,1183,53,1025
2,267,6,1183,1,1026
2,267,7,1183,3,1027
2,267,8,1183,3,1028
2,267,9,1183,2,1029
2,267,10,1183,13,1030
2,267,16,1183,4,1031
2,267,17,1183,1,1032
2,267,19,1183,1,1033
2,267,28,1183,11,1034
2,267,30,1183,32,1035
2,267,46,1183,1,1036
2,268,1,1183,1,1037
2,268,10,1183,5,1038
2,268,12,1183,1,1039
2,268,17,1183,1,1040
2,269,10,1183,4,1041
2,270,10,1183,2,1042
2,271,10,1183,3,1043
2,272,10,1183,2,1044
2,273,10,1183,4,1045
2,273,17,1183,3,1046
2,274,10,1183,3,1047
2,274,46,1183,2,1048
2,275,10,1183,1,1049
2,275,20,1183,19,1050
2,276,10,1183,3,1051
2,277,1,1183,2,1052
2,277,10,1183,3,1053
2,278,1,1183,1,1054
2,279,1,1183,1,1055
2,279,10,1183,5,1056
2,279,30,1183,19,1057
2,280,1,1183,2,1058
2,280,10,1183,2,1059
2,281,10,1183,3,1060
2,282,10,1183,10,1061
2,283,10,1183,16,1062
2,284,10,1183,7,1063
2,285,1,1183,1,1064
2,285,10,1183,2,1065
